epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2679.61,0.63311,0.61279,0.92924,0.84394,0.7218,0.83291,0.54634,1.39,1.15593,1.22653,0.0006536,0.0006536,0.0006536
138,2699.97,0.53088,0.49663,0.90517,0.84476,0.72608,0.84762,0.57244,1.40303,1.16301,1.23313,0.0006437,0.0006437,0.0006437
139,2719.52,0.66141,0.76778,0.95406,0.8531,0.77548,0.87558,0.56149,1.41791,1.18939,1.24671,0.0006338,0.0006338,0.0006338
140,2740.13,0.63035,0.54706,0.93856,0.81255,0.8,0.87392,0.54787,1.42848,1.13275,1.24656,0.0006239,0.0006239,0.0006239
141,2761.34,0.58925,0.51436,0.91925,0.86391,0.84737,0.8697,0.52457,1.4348,1.09567,1.25188,0.000614,0.000614,0.000614
142,2781.16,0.65723,0.63351,0.9771,0.75713,0.86667,0.87058,0.51551,1.41222,1.06964,1.24721,0.0006041,0.0006041,0.0006041
143,2799.89,0.6762,0.59392,1.00056,0.75236,0.86667,0.88125,0.52305,1.43404,1.0659,1.26065,0.0005942,0.0005942,0.0005942
144,2819.3,0.58945,0.54909,0.93311,0.75478,0.86667,0.88032,0.51446,1.44094,1.05419,1.27493,0.0005843,0.0005843,0.0005843
145,2838.85,0.52942,0.48387,0.88929,0.64889,0.93333,0.82072,0.5,1.41822,1.03932,1.27913,0.0005744,0.0005744,0.0005744
146,2857.72,0.60008,0.51517,0.93727,0.66156,0.93333,0.81559,0.5126,1.42869,1.0981,1.30752,0.0005645,0.0005645,0.0005645
147,2876.64,0.68616,0.5537,0.94998,0.66518,0.9274,0.83085,0.52343,1.42223,1.09931,1.31356,0.0005546,0.0005546,0.0005546
148,2895.67,0.54102,0.47131,0.87392,1,0.77143,0.91871,0.53857,1.39577,1.09475,1.29137,0.0005447,0.0005447,0.0005447
149,2914.44,0.63344,0.52131,0.91541,0.94531,0.8,0.92656,0.53106,1.45109,1.06461,1.31494,0.0005348,0.0005348,0.0005348
150,2933.59,0.5604,0.4597,0.91615,0.97592,0.8,0.93658,0.53208,1.50532,1.04645,1.35009,0.0005249,0.0005249,0.0005249
151,2952.3,0.63815,0.57127,0.93618,1,0.91591,0.96312,0.54624,1.54043,0.98902,1.37326,0.000515,0.000515,0.000515
152,2971.28,0.55722,0.46706,0.90556,0.97005,0.93333,0.965,0.57064,1.53236,0.95852,1.37502,0.0005051,0.0005051,0.0005051
153,2990.38,0.56756,0.47045,0.87684,0.92075,0.93333,0.96633,0.57065,1.52818,0.92862,1.39089,0.0004952,0.0004952,0.0004952
154,3010.12,0.56808,0.53014,0.89746,0.93228,0.91853,0.97319,0.56939,1.50139,0.89754,1.39251,0.0004853,0.0004853,0.0004853
